,SPXT,JP,EM,EU,BOND,TIP,REIT,GOLD,WOOD,XLE,MWXO,IBOXHY,IBOXIG,JGAGGUSD,JPEICORE,FXY,FXE,FXB,UUP
1997/1/31,1034.74,,,101.524,,,,,,,,,,,,,,,
1997/2/28,1042.85,,,102.028,,,,,,,,,,,,,,,
1997/3/31,1000,,,106.143,,,,,,,,,,,,,,,
1997/4/30,1059.7,,,104.279,,,,,,,,,,,,,,,
1997/5/30,1124.22,,,107.393,,,,,,,,,,,,,,,
1997/6/30,1174.59,,,114.444,,,,,,,,,,,,,,,
1997/7/31,1268.05,,,120.653,,,,,,,,,,,,,,,
1997/8/29,1197.01,,,111.383,,,,,,,,,,,,,,,
1997/9/30,1262.56,,,122.512,,,,,,,,,,,,,,,
1997/10/31,1220.4,,,114.901,,,,,,,,,,,,,,,
1997/11/28,1276.89,,,117.168,,,,,,,,,,,,,,,
1997/12/31,1298.82,,,121.438,,,,,,,936.59,,,,,,,,
1998/1/30,1313.19,,,126.575,,,,,,,961.49,,,,,,,,
1998/2/27,1407.9,,,136.839,,,,,,,1025.3,,,,,,,,
1998/3/31,1480,,,149.546,,,,,,,1067.35,,,,,,,,
1998/4/30,1494.89,,,154.6,,,,,,,1076.53,,,,,,,,
1998/5/29,1469.19,,,162.229,,,,,,,1061.79,,,,,,,,
1998/6/30,1528.87,,,164.431,,,,,,,1085.74,,,,,,,,
1998/7/31,1512.59,,,169.929,,,,,,,1082.74,,,,,,,,
1998/8/31,1293.9,,,145.451,,,,,,,937.09,,,,,,,,
1998/9/30,1376.79,,,139.926,,,,,,,952.39,,,,,,,,
1998/10/30,1488.78,,,150.925,,,,,,,1037.21,,,,,,,,
1998/11/30,1579.02,,,159.963,,,,,,,1097.62,,,,,,,,
1998/12/31,1670.01,,86.834,168.922,,,,,,,1149.95,,,,,,,,
1999/1/29,1739.84,,85.525,167.759,,107.3472,,285.4,,,1173.84,,,,,,,,
1999/2/26,1685.77,,86.349,159.572,,106.5972,192.39,287.05,,15.2109,1141.33,99.4081,98.0657,239.956,86.471,119.2,1.1028,1.6025,98.71
1999/3/31,1753.21,,97.759,159.91,,106.5817,190.65,279.45,,17.3611,1187.54,100.6639,98.5885,240.213,91.982,118.9,1.0762,1.6112,100.1
1999/4/30,1821.11,,109.847,164.242,,107.2873,210.63,286.6,,19.9311,1233.06,101.5706,98.2354,240.047,97.929,119.48,1.057,1.6095,101
1999/5/31,1778.1,,109.211,157.527,,108.0261,215.01,268.6,,19.5009,1186.7,98.8024,96.3623,235.71,92.232,121.8,1.042,1.6026,102.28
1999/6/30,1876.78,,121.577,162.035,,108.0955,212.37,261,,19.8992,1240.75,98.5902,95.6138,231.693,95.544,121.1,1.0351,1.5778,102.85
1999/7/30,1818.18,,118.195,161.541,,108.0389,200.81,255.6,,20.2761,1235.7,98.7725,95.3016,236.643,93.645,114.53,1.0711,1.6216,99.75
1999/8/31,1809.19,,119.309,165.013,,108.2346,195.44,254.8,,20.4978,1232.16,97.9961,95.1931,236.707,93.209,109.73,1.0566,1.6038,99.95
1999/9/30,1759.59,,115.231,164.036,,108.6564,185.91,299,,19.5554,1218.9,97.7227,96.2591,239.877,96.27,106.46,1.0684,1.6473,98.54
1999/10/29,1870.94,,117.666,170.686,,108.8689,185.11,299.1,,19.2659,1280.94,96.9848,96.4647,239.221,99.854,104.1,1.0549,1.6448,99.06
1999/11/30,1908.97,,128.224,176.769,,109.5337,180.94,291.35,,19.2325,1315.68,99.8266,96.2782,235.825,102.532,102.16,1.0093,1.5981,101.99
1999/12/31,2021.4,,144.571,200.73,,108.6541,189.08,290.25,,19.3675,1420.89,100.3102,95.717,235.079,106.88,102.51,1.0062,1.6182,101.87
2000/1/31,1919.84,,145.376,188.401,,109.1375,189.72,283.3,,19.5239,1338.25,99.2459,94.9309,231.558,105.059,107.32,0.9707,1.6162,105.13
2000/2/29,1883.5,,147.342,205.415,,110.1241,187.14,293.65,,18.6973,1340.58,99.0376,95.5595,231.34,110.693,110.33,0.9642,1.5792,105.92
2000/3/31,2067.76,,148.139,204.781,,113.3421,196.75,276.75,,21.024,1431.94,97.0799,97.1769,236.221,113.206,102.78,0.9555,1.5911,105.44
2000/4/28,2005.55,,134.11,194.908,,114.8536,204.17,275.05,,20.7102,1370.11,98.0039,96.4829,230.439,110.712,108.18,0.9119,1.5513,110.14
